user_id,demographic_group,internet_access_quality,device_type,network_latency,device_age,software_update_frequency,access_requests_per_day,security_outcome
user_1,Group A,High-Speed Home,Modern Personal,37,12,7,4,0
user_2,Group A,High-Speed Home,Modern Personal,5,4,3,7,0
user_3,Group A,Standard Home,Modern Personal,72,22,1,6,0
user_4,Group B,Public Wi-Fi,Shared/Public,264,76,44,9,1
user_5,Group B,Mobile Hotspot,Older Personal,117,48,17,4,1
user_6,Group B,Public Wi-Fi,Shared/Public,298,87,50,6,1
user_7,Group B,Mobile Hotspot,Shared/Public,153,62,30,5,1
user_8,Group A,High-Speed Home,Modern Personal,52,19,12,7,0
user_9,Group A,Standard Home,Older Personal,37,29,24,7,0
user_10,Group A,High-Speed Home,Modern Personal,34,13,8,2,0
user_11,Group A,High-Speed Home,Modern Personal,34,15,4,5,0
user_12,Group B,Mobile Hotspot,Older Personal,154,33,16,3,1
user_13,Group B,Public Wi-Fi,Older Personal,405,41,4,8,1
user_14,Group A,Standard Home,Modern Personal,54,11,9,5,1
user_15,Group A,High-Speed Home,Modern Personal,29,21,8,3,0
user_16,Group A,Standard Home,Modern Personal,62,21,11,6,0
user_17,Group A,Standard Home,Modern Personal,94,8,1,7,0
user_18,Group B,Public Wi-Fi,Older Personal,297,39,20,8,1
user_19,Group B,Mobile Hotspot,Older Personal,75,24,8,3,0
user_20,Group B,Mobile Hotspot,Older Personal,156,63,30,9,1
user_21,Group A,Standard Home,Modern Personal,82,13,7,3,0
user_22,Group B,High-Speed Home,Older Personal,39,41,11,7,0
user_23,Group A,High-Speed Home,Modern Personal,39,12,8,3,0
user_24,Group B,Mobile Hotspot,Older Personal,138,55,16,3,1
user_25,Group A,Standard Home,Modern Personal,67,5,6,2,0
user_26,Group A,Standard Home,Modern Personal,29,22,1,10,0
user_27,Group B,Mobile Hotspot,Older Personal,49,50,15,5,1
user_28,Group B,Public Wi-Fi,Shared/Public,147,76,41,12,1
user_29,Group B,Public Wi-Fi,Shared/Public,268,80,34,10,1
user_30,Group A,High-Speed Home,Modern Personal,21,20,7,6,0
user_31,Group A,Standard Home,Modern Personal,67,12,7,4,0
user_32,Group B,Public Wi-Fi,Older Personal,233,48,19,7,1
user_33,Group A,High-Speed Home,Modern Personal,37,12,1,3,0
user_34,Group A,Standard Home,Modern Personal,69,19,4,3,0
user_35,Group A,Standard Home,Modern Personal,60,16,9,1,0
user_36,Group A,Public Wi-Fi,Modern Personal,222,16,8,2,0
user_37,Group B,Public Wi-Fi,Shared/Public,392,60,50,5,1
user_38,Group A,High-Speed Home,Modern Personal,24,17,11,5,0
user_39,Group A,High-Speed Home,Modern Personal,30,1,5,2,0
user_40,Group A,Standard Home,Modern Personal,90,23,2,6,0
user_41,Group B,Mobile Hotspot,Older Personal,127,37,11,5,1
user_42,Group A,Mobile Hotspot,Modern Personal,143,8,5,2,1
user_43,Group A,High-Speed Home,Modern Personal,5,1,9,3,0
user_44,Group A,High-Speed Home,Modern Personal,30,12,5,6,0
user_45,Group A,Standard Home,Modern Personal,75,6,9,6,0
user_46,Group B,Public Wi-Fi,Shared/Public,288,97,37,10,1
user_47,Group B,Public Wi-Fi,Shared/Public,198,117,55,10,1
user_48,Group A,Mobile Hotspot,Older Personal,139,70,11,2,1
user_49,Group A,High-Speed Home,Modern Personal,44,11,6,2,0
user_50,Group B,Public Wi-Fi,Modern Personal,115,14,4,4,1
user_51,Group B,Public Wi-Fi,Older Personal,279,38,17,10,1
user_52,Group B,Mobile Hotspot,Shared/Public,104,88,73,4,1
user_53,Group A,High-Speed Home,Modern Personal,5,20,11,8,0
user_54,Group A,Standard Home,Older Personal,75,47,20,5,0
user_55,Group A,Standard Home,Modern Personal,66,9,2,3,0
user_56,Group B,Public Wi-Fi,Older Personal,211,53,28,4,1
user_57,Group A,High-Speed Home,Modern Personal,38,20,3,4,0
user_58,Group A,Standard Home,Shared/Public,75,83,63,3,1
user_59,Group B,Public Wi-Fi,Shared/Public,108,87,51,5,1
user_60,Group A,Mobile Hotspot,Modern Personal,242,11,8,3,1
user_61,Group A,High-Speed Home,Modern Personal,21,18,3,2,0
user_62,Group B,Public Wi-Fi,Shared/Public,144,87,35,4,1
user_63,Group A,High-Speed Home,Shared/Public,40,83,65,3,1
user_64,Group A,Standard Home,Older Personal,83,39,17,5,0
user_65,Group B,Mobile Hotspot,Older Personal,207,39,24,4,0
user_66,Group A,High-Speed Home,Modern Personal,26,19,7,3,0
user_67,Group B,High-Speed Home,Older Personal,38,47,29,6,0
user_68,Group A,High-Speed Home,Modern Personal,26,2,6,4,0
user_69,Group A,High-Speed Home,Older Personal,12,38,18,5,0
user_70,Group A,High-Speed Home,Older Personal,30,30,21,5,0
user_71,Group A,Public Wi-Fi,Modern Personal,291,11,5,4,1
user_72,Group A,High-Speed Home,Modern Personal,26,10,8,9,0
user_73,Group A,Public Wi-Fi,Older Personal,243,71,12,2,1
user_74,Group B,Standard Home,Older Personal,44,49,31,6,1
user_75,Group A,Standard Home,Modern Personal,52,14,4,5,0
user_76,Group A,Standard Home,Modern Personal,67,9,8,3,0
user_77,Group A,Mobile Hotspot,Older Personal,133,64,20,5,0
user_78,Group A,Mobile Hotspot,Older Personal,140,67,22,9,1
user_79,Group A,Standard Home,Modern Personal,92,18,14,4,0
user_80,Group A,High-Speed Home,Older Personal,9,35,20,17,1
user_81,Group A,Standard Home,Modern Personal,53,7,7,5,0
user_82,Group B,Mobile Hotspot,Shared/Public,104,82,46,10,1
user_83,Group B,Mobile Hotspot,Older Personal,161,60,23,10,1
user_84,Group A,High-Speed Home,Older Personal,18,51,6,3,1
user_85,Group A,Standard Home,Modern Personal,82,2,9,4,0
user_86,Group A,High-Speed Home,Modern Personal,27,7,6,5,0
user_87,Group A,High-Speed Home,Modern Personal,17,18,10,5,0
user_88,Group A,High-Speed Home,Modern Personal,41,1,9,5,0
user_89,Group A,High-Speed Home,Older Personal,27,63,14,5,1
user_90,Group A,High-Speed Home,Older Personal,26,28,12,4,0
user_91,Group A,Standard Home,Modern Personal,66,9,4,2,0
user_92,Group A,High-Speed Home,Modern Personal,18,10,6,10,1
user_93,Group B,Mobile Hotspot,Shared/Public,171,112,51,10,1
user_94,Group A,High-Speed Home,Older Personal,34,52,19,3,1
user_95,Group A,Standard Home,Older Personal,91,31,21,6,0
user_96,Group B,Mobile Hotspot,Shared/Public,104,73,47,3,1
user_97,Group A,Standard Home,Modern Personal,79,14,7,7,0
